,A. Basic Identifiers,,,,,,B. Building Information,,,,,,C. Subject's Personal Information,,,,,D. Subjective Thermal Comfort Information,,,,,,E. Indoor Physical Parameters,,,,,,,,,,,,,,,,,,F. Indoor Calculated Parameters,,,,,G.Outdoor Environment Parameters,,,,,,
909,HIT2nd0749,2013-12-14 21:17:37,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Female,20,168.5,55.4,20.0,1.0,1.0,1.0,1.29 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,16.0 ,0.6 ,24.2 ,23 ,0.01 ,16.0 ,1.1 ,25.0 ,23 ,0.01 ,16.0 ,NA,NA,NA,24.4 ,24.7 ,NA,0.48,9.83,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
910,HIT2nd0750,2013-12-14 21:19:29,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Female,20,157.5,49.2,2.0,2.0,2.0,1.0,1.23 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,15.0 ,0.6 ,24.2 ,23 ,0.01 ,15.0 ,1.1 ,25.0 ,23 ,0.01 ,15.0 ,NA,NA,NA,24.4 ,24.7 ,NA,0.42,8.67,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
911,HIT2nd0751,2013-12-14 21:26:20,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Male,20,170.0,78.8,2.0,0.0,1.0,1.0,1.04 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,16.0 ,0.6 ,24.2 ,23 ,0.01 ,16.0 ,1.1 ,25.0 ,23 ,0.01 ,16.0 ,NA,NA,NA,24.4 ,24.7 ,NA,0.20,5.83,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
912,HIT2nd0752,2013-12-14 21:27:32,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Male,18,171.0,56.7,2.0,2.0,1.0,1.0,1.51 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,15.0 ,0.6 ,24.2 ,23 ,0.01 ,15.0 ,1.1 ,25.0 ,23 ,0.01 ,15.0 ,NA,NA,NA,24.4 ,24.7 ,NA,0.67,14.63,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
913,HIT2nd0753,2013-12-14 21:33:04,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Male,19,167.5,57.2,2.0,1.0,1.0,1.0,1.01 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,15.5 ,0.6 ,24.2 ,23 ,0.01 ,15.5 ,1.1 ,25.0 ,23 ,0.01 ,15.5 ,NA,NA,NA,24.4 ,24.7 ,NA,0.16,5.54,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
914,HIT2nd0754,2013-12-14 21:34:49,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Female,20,153.5,44.3,2.0,-1.0,2.0,1.0,0.87 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,15.5 ,0.6 ,24.2 ,23 ,0.01 ,15.5 ,1.1 ,25.0 ,23 ,0.01 ,15.5 ,NA,NA,NA,24.4 ,24.7 ,NA,-0.04,5.04,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
915,HIT2nd0755,2013-12-14 21:36:40,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Female,22,162.5,51.1,2.0,1.0,2.0,1.0,1.16 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,14.5 ,0.6 ,24.2 ,23 ,0.01 ,14.5 ,1.1 ,25.0 ,23 ,0.01 ,14.5 ,NA,NA,NA,24.4 ,24.7 ,NA,0.34,7.45,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
916,HIT2nd0756,2013-12-14 21:38:04,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Female,21,157.5,43.2,2.0,1.0,2.0,1.0,1.21 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,14.5 ,0.6 ,24.2 ,23 ,0.01 ,14.5 ,1.1 ,25.0 ,23 ,0.01 ,14.5 ,NA,NA,NA,24.4 ,24.7 ,NA,0.40,8.30,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
917,HIT2nd0757,2013-12-14 21:41:49,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Male,21,172.0,58.1,2.0,0.0,1.0,1.0,0.76 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,24.6 ,0.6 ,24.2 ,23 ,0.01 ,24.6 ,1.1 ,25.0 ,23 ,0.01 ,24.6 ,NA,NA,NA,24.4 ,24.7 ,NA,-0.23,6.09,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
918,HIT2nd0758,2013-12-14 21:42:44,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Male,20,178.0,58.5,2.0,1.0,2.0,1.0,1.21 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,24.6 ,0.6 ,24.2 ,23 ,0.01 ,24.6 ,1.1 ,25.0 ,23 ,0.01 ,24.6 ,NA,NA,NA,24.4 ,24.7 ,NA,0.40,8.30,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
919,HIT2nd0759,2013-12-14 21:45:01,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Female,21,162.5,72.9,21.0,0.0,1.0,1.0,1.41 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,24.6 ,0.6 ,24.2 ,23 ,0.01 ,24.6 ,1.1 ,25.0 ,23 ,0.01 ,24.6 ,NA,NA,NA,24.4 ,24.7 ,NA,0.59,12.36,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
920,HIT2nd0760,2013-12-14 21:47:45,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Female,20,159.5,47.0,2.0,1.0,1.0,1.0,1.23 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,24.6 ,0.6 ,24.2 ,23 ,0.01 ,24.6 ,1.1 ,25.0 ,23 ,0.01 ,24.6 ,NA,NA,NA,24.4 ,24.7 ,NA,0.42,8.67,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
921,HIT2nd0761,2013-12-14 21:50:36,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Female,20,167.5,50.8,2.0,0.0,2.0,1.0,0.96 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,24.6 ,0.6 ,24.2 ,23 ,0.01 ,24.6 ,1.1 ,25.0 ,23 ,0.01 ,24.6 ,NA,NA,NA,24.4 ,24.7 ,NA,0.09,5.18,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
922,HIT2nd0762,2013-12-14 21:59:03,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Male,20,186.5,69.8,2.0,0.0,1.0,1.0,1.02 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,24.6 ,0.6 ,24.2 ,23 ,0.01 ,24.6 ,1.1 ,25.0 ,23 ,0.01 ,24.6 ,NA,NA,NA,24.4 ,24.7 ,NA,0.17,5.63,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
923,HIT2nd0763,2013-12-14 22:01:57,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Male,19,171.0,61.9,2.0,0.0,1.0,1.0,1.31 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,24.6 ,0.6 ,24.2 ,23 ,0.01 ,24.6 ,1.1 ,25.0 ,23 ,0.01 ,24.6 ,NA,NA,NA,24.4 ,24.7 ,NA,0.50,10.23,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
924,HIT2nd0764,2013-12-14 22:10:49,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,5,Radiator heating,NA,NA,Female,22,154.5,51.6,2.0,1.0,1.0,1.0,1.31 ,1.0 ,0.1 ,23.4 ,23 ,0.01 ,24.6 ,0.6 ,24.2 ,23 ,0.01 ,24.6 ,1.1 ,25.0 ,23 ,0.01 ,24.6 ,NA,NA,NA,24.4 ,24.7 ,NA,0.50,10.23,NA,-17.9,-14.1,-12.6,-13.9,NA,NA,
925,HIT2nd0765,2013-12-17 10:53:03,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,167.5,50.8,2.0,0.0,1.0,1.0,1.19 ,1.0 ,0.1 ,21.5 ,27 ,0.05 ,22.7 ,0.6 ,22.0 ,27 ,0.05 ,22.7 ,1.1 ,22.4 ,27 ,0.05 ,22.7 ,NA,NA,NA,22.5 ,23.0 ,NA,-0.07,5.11,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
926,HIT2nd0766,2013-12-17 10:54:28,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,20,178.0,58.5,2.0,0.0,1.0,1.0,0.99 ,1.0 ,0.1 ,21.5 ,27 ,0.05 ,22.7 ,0.6 ,22.0 ,27 ,0.05 ,22.7 ,1.1 ,22.4 ,27 ,0.05 ,22.7 ,NA,NA,NA,22.5 ,23.0 ,NA,-0.37,7.85,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
927,HIT2nd0767,2013-12-17 10:56:26,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,159.5,47.0,2.0,1.0,2.0,-1.0,1.80 ,1.0 ,0.1 ,21.5 ,27 ,0.05 ,22.7 ,0.6 ,22.0 ,27 ,0.05 ,22.7 ,1.1 ,22.4 ,27 ,0.05 ,22.7 ,NA,NA,NA,22.5 ,23.0 ,NA,0.54,11.10,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
928,HIT2nd0768,2013-12-17 10:57:44,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,21,157.5,43.2,2.0,3.0,2.0,-1.0,1.30 ,1.0 ,0.1 ,21.5 ,27 ,0.05 ,22.7 ,0.6 ,22.0 ,27 ,0.05 ,22.7 ,1.1 ,22.4 ,27 ,0.05 ,22.7 ,NA,NA,NA,22.5 ,23.0 ,NA,0.06,5.09,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
929,HIT2nd0769,2013-12-17 10:59:32,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,20,185.0,79.7,20.0,0.0,1.0,1.0,1.50 ,1.0 ,0.1 ,21.5 ,27 ,0.05 ,22.7 ,0.6 ,22.0 ,27 ,0.05 ,22.7 ,1.1 ,22.4 ,27 ,0.05 ,22.7 ,NA,NA,NA,22.5 ,23.0 ,NA,0.28,6.65,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
930,HIT2nd0770,2013-12-17 11:00:58,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,19,171.0,61.9,2.0,2.0,1.0,1.0,1.07 ,1.0 ,0.1 ,21.5 ,27 ,0.05 ,22.7 ,0.6 ,22.0 ,27 ,0.05 ,22.7 ,1.1 ,22.4 ,27 ,0.05 ,22.7 ,NA,NA,NA,22.5 ,23.0 ,NA,-0.24,6.22,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
931,HIT2nd0771,2013-12-17 11:01:57,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,21,172.0,58.1,2.0,0.0,1.0,1.0,0.76 ,1.0 ,0.1 ,21.5 ,27 ,0.05 ,22.7 ,0.6 ,22.0 ,27 ,0.05 ,22.7 ,1.1 ,22.4 ,27 ,0.05 ,22.7 ,NA,NA,NA,22.5 ,23.0 ,NA,-0.81,18.96,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
932,HIT2nd0772,2013-12-17 11:02:58,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,21,171.5,63.1,2.0,0.0,1.0,1.0,1.31 ,1.0 ,0.1 ,21.5 ,27 ,0.05 ,22.7 ,0.6 ,22.0 ,27 ,0.05 ,22.7 ,1.1 ,22.4 ,27 ,0.05 ,22.7 ,NA,NA,NA,22.5 ,23.0 ,NA,0.08,5.12,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
933,HIT2nd0773,2013-12-17 11:04:25,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,21,175.0,86.3,2.0,0.0,1.0,1.0,0.77 ,1.0 ,0.1 ,21.5 ,27 ,0.05 ,22.7 ,0.6 ,22.0 ,27 ,0.05 ,22.7 ,1.1 ,22.4 ,27 ,0.05 ,22.7 ,NA,NA,NA,22.5 ,23.0 ,NA,-0.79,18.21,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
934,HIT2nd0774,2013-12-17 11:05:29,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,20,186.5,69.8,2.0,0.0,1.0,1.0,1.02 ,1.0 ,0.1 ,21.5 ,27 ,0.05 ,22.7 ,0.6 ,22.0 ,27 ,0.05 ,22.7 ,1.1 ,22.4 ,27 ,0.05 ,22.7 ,NA,NA,NA,22.0 ,22.0 ,NA,-0.43,8.96,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
935,HIT2nd0775,2013-12-17 11:06:37,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,22,164.5,50.6,2.0,0.0,1.0,1.0,1.43 ,1.0 ,0.1 ,21.5 ,27 ,0.05 ,22.7 ,0.6 ,22.0 ,27 ,0.05 ,22.7 ,1.1 ,22.4 ,27 ,0.05 ,22.7 ,NA,NA,NA,22.0 ,22.0 ,NA,0.12,5.28,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
936,HIT2nd0776,2013-12-17 11:07:55,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,20,171.5,57.4,3.0,0.0,1.0,1.0,1.84 ,1.0 ,0.1 ,21.8 ,27 ,0.06 ,22.1 ,0.6 ,22.2 ,27 ,0.06 ,22.1 ,1.1 ,22.7 ,27 ,0.06 ,22.1 ,NA,NA,NA,22.1 ,22.0 ,NA,0.51,10.54,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
937,HIT2nd0777,2013-12-17 11:08:59,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,19,182.5,61.2,2.0,0.0,1.0,1.0,1.23 ,1.0 ,0.1 ,21.8 ,27 ,0.06 ,22.1 ,0.6 ,22.2 ,27 ,0.06 ,22.1 ,1.1 ,22.7 ,27 ,0.06 ,22.1 ,NA,NA,NA,22.1 ,22.0 ,NA,-0.09,5.18,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
938,HIT2nd0778,2013-12-17 11:10:19,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,159.0,54.8,2.0,0.0,2.0,1.0,1.42 ,1.0 ,0.1 ,21.8 ,27 ,0.06 ,22.1 ,0.6 ,22.2 ,27 ,0.06 ,22.1 ,1.1 ,22.7 ,27 ,0.06 ,22.1 ,NA,NA,NA,22.1 ,22.0 ,NA,0.13,5.37,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
939,HIT2nd0779,2013-12-17 11:14:02,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,21,162.5,72.9,21.0,3.0,2.0,1.0,1.94 ,1.0 ,0.1 ,21.8 ,27 ,0.06 ,22.1 ,0.6 ,22.2 ,27 ,0.06 ,22.1 ,1.1 ,22.7 ,27 ,0.06 ,22.1 ,NA,NA,NA,22.1 ,22.0 ,NA,0.58,12.16,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
940,HIT2nd0780,2013-12-17 11:15:12,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,22,154.5,51.6,2.0,0.0,1.0,1.0,1.06 ,1.0 ,0.1 ,21.8 ,27 ,0.06 ,22.1 ,0.6 ,22.2 ,27 ,0.06 ,22.1 ,1.1 ,22.7 ,27 ,0.06 ,22.1 ,NA,NA,NA,22.4 ,22.6 ,NA,-0.27,6.53,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
941,HIT2nd0781,2013-12-17 11:16:16,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,164.5,45.6,2.0,1.0,1.0,1.0,1.51 ,1.0 ,0.1 ,21.8 ,27 ,0.06 ,22.1 ,0.6 ,22.2 ,27 ,0.06 ,22.1 ,1.1 ,22.7 ,27 ,0.06 ,22.1 ,NA,NA,NA,22.4 ,22.6 ,NA,0.28,6.62,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
942,HIT2nd0782,2013-12-17 11:17:26,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,22,162.5,51.1,2.0,2.0,2.0,1.0,0.92 ,1.0 ,0.1 ,22.4 ,30 ,0.02 ,22.6 ,0.6 ,22.6 ,30 ,0.02 ,22.6 ,1.1 ,23.2 ,30 ,0.02 ,22.6 ,NA,NA,NA,22.6 ,22.6 ,NA,-0.41,8.54,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
943,HIT2nd0783,2013-12-17 11:18:21,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,20,181.0,NA,20.0,1.0,2.0,1.0,0.76 ,1.0 ,0.1 ,22.4 ,30 ,0.02 ,22.6 ,0.6 ,22.6 ,30 ,0.02 ,22.6 ,1.1 ,23.2 ,30 ,0.02 ,22.6 ,NA,NA,NA,22.6 ,22.6 ,NA,-0.72,16.12,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
944,HIT2nd0784,2013-12-17 11:19:15,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,21,177.0,76.4,2.0,0.0,1.0,1.0,0.85 ,1.0 ,0.1 ,22.4 ,30 ,0.02 ,22.6 ,0.6 ,22.6 ,30 ,0.02 ,22.6 ,1.1 ,23.2 ,30 ,0.02 ,22.6 ,NA,NA,NA,22.6 ,22.6 ,NA,-0.54,11.14,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
945,HIT2nd0785,2013-12-17 11:20:17,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,19,167.5,57.2,2.0,0.0,2.0,1.0,0.92 ,1.0 ,0.1 ,22.4 ,30 ,0.02 ,22.6 ,0.6 ,22.6 ,30 ,0.02 ,22.6 ,1.1 ,23.2 ,30 ,0.02 ,22.6 ,NA,NA,NA,22.6 ,22.6 ,NA,-0.41,8.54,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
946,HIT2nd0786,2013-12-17 11:21:34,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,159.5,51.6,20.0,1.0,1.0,1.0,1.11 ,1.0 ,0.1 ,22.4 ,30 ,0.02 ,22.6 ,0.6 ,22.6 ,30 ,0.02 ,22.6 ,1.1 ,23.2 ,30 ,0.02 ,22.6 ,NA,NA,NA,22.6 ,22.6 ,NA,-0.11,5.25,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
947,HIT2nd0787,2013-12-17 11:22:50,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,18,171.0,56.7,2.0,-1.0,2.0,1.0,1.21 ,1.0 ,0.1 ,22.4 ,30 ,0.02 ,22.6 ,0.6 ,22.6 ,30 ,0.02 ,22.6 ,1.1 ,23.2 ,30 ,0.02 ,22.6 ,NA,NA,NA,22.6 ,22.6 ,NA,0.02,5.01,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
948,HIT2nd0788,2013-12-17 11:23:44,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,20,170.0,78.8,2.0,1.0,1.0,1.0,1.09 ,1.0 ,0.1 ,22.4 ,30 ,0.02 ,22.6 ,0.6 ,22.6 ,30 ,0.02 ,22.6 ,1.1 ,23.2 ,30 ,0.02 ,22.6 ,NA,NA,NA,22.6 ,22.6 ,NA,-0.14,5.40,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
949,HIT2nd0789,2013-12-17 11:24:41,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,21,174.0,78.4,2.0,0.0,1.0,1.0,1.50 ,1.0 ,0.1 ,22.4 ,30 ,0.02 ,22.6 ,0.6 ,22.6 ,30 ,0.02 ,22.6 ,1.1 ,23.2 ,30 ,0.02 ,22.6 ,NA,NA,NA,22.6 ,22.6 ,NA,0.34,7.49,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
950,HIT2nd0790,2013-12-17 11:25:33,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,157.5,49.2,2.0,2.0,2.0,1.0,1.12 ,1.0 ,0.1 ,22.4 ,30 ,0.02 ,22.6 ,0.6 ,22.6 ,30 ,0.02 ,22.6 ,1.1 ,23.2 ,30 ,0.02 ,22.6 ,NA,NA,NA,22.6 ,22.6 ,NA,-0.10,5.19,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
951,HIT2nd0791,2013-12-17 12:07:50,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,168.5,55.4,20.0,0.0,1.0,1.0,1.94 ,1.0 ,0.1 ,22.4 ,30 ,0.02 ,22.6 ,0.6 ,22.6 ,30 ,0.02 ,22.6 ,1.1 ,23.2 ,30 ,0.02 ,22.6 ,NA,NA,NA,23.0 ,23.3 ,NA,0.76,17.12,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
952,HIT2nd0792,2013-12-17 12:08:55,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,153.5,44.3,2.0,-1.0,2.0,1.0,1.17 ,1.0 ,0.1 ,22.4 ,30 ,0.02 ,22.6 ,0.6 ,22.6 ,30 ,0.02 ,22.6 ,1.1 ,23.2 ,30 ,0.02 ,22.6 ,NA,NA,NA,23.0 ,23.3 ,NA,0.05,5.05,NA,-16.9,-14.1,-12.9,-14.7,NA,NA,
953,HIT2nd0793,2013-12-25 12:34:12,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,20,185.0,79.7,20.0,2.0,1.0,1.0,1.50 ,1.0 ,0.1 ,22.4 ,27 ,0.01 ,23.3 ,0.6 ,23.4 ,27 ,0.01 ,23.3 ,1.1 ,24.3 ,27 ,0.01 ,23.3 ,NA,NA,NA,23.3 ,23.3 ,NA,0.46,9.53,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
954,HIT2nd0794,2013-12-25 12:35:53,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,21,174.0,78.4,2.0,0.0,1.0,1.0,1.34 ,1.0 ,0.1 ,22.4 ,27 ,0.01 ,23.3 ,0.6 ,23.4 ,27 ,0.01 ,23.3 ,1.1 ,24.3 ,27 ,0.01 ,23.3 ,NA,NA,NA,23.3 ,23.3 ,NA,0.31,6.99,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
955,HIT2nd0795,2013-12-25 12:37:02,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,159.5,47.0,2.0,1.0,2.0,1.0,1.18 ,1.0 ,0.1 ,22.4 ,27 ,0.01 ,23.3 ,0.6 ,23.4 ,27 ,0.01 ,23.3 ,1.1 ,24.3 ,27 ,0.01 ,23.3 ,NA,NA,NA,23.3 ,23.3 ,NA,0.13,5.33,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
956,HIT2nd0796,2013-12-25 12:38:00,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,22,164.5,50.6,2.0,1.0,2.0,1.0,0.98 ,1.0 ,0.1 ,22.4 ,27 ,0.01 ,23.3 ,0.6 ,23.4 ,27 ,0.01 ,23.3 ,1.1 ,24.3 ,27 ,0.01 ,23.3 ,NA,NA,NA,23.3 ,23.3 ,NA,-0.15,5.45,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
957,HIT2nd0797,2013-12-25 12:38:58,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,165.5,49.8,2.0,0.0,1.0,1.0,1.37 ,1.0 ,0.1 ,22.4 ,27 ,0.01 ,23.3 ,0.6 ,23.4 ,27 ,0.01 ,23.3 ,1.1 ,24.3 ,27 ,0.01 ,23.3 ,NA,NA,NA,23.3 ,23.3 ,NA,0.34,7.42,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
