Season,City,Climate Zone,Building Type,Building Function,Floors,Building Operation Mode,Room Length x Width (m^2),Room Height (m),Sex,Age,Height (m),Weight (kg),Living Years,Clothing Insulation (clo),Metabolic Rate (met),Indoor Air Temperature (¡æ),Indoor Relative Humidity (%),Indoor Air Velocity (m/s),Globe Temperature (¡æ),Indoor Air Temperature 1 (¡æ),Indoor Relative Humidity 1 (%),Indoor Air Velocity 1 (m/s),Globe Temperature 1 (¡æ),Indoor Air Temperature 2 (¡æ),Indoor Relative Humidity 2 (%),Indoor Air Velocity 2 (m/s),Globe Temperature 2 (¡æ),Roof Temperature (¡æ),Wall Temperature (¡æ),Floor Temperature (¡æ),Operative Temperature (¡æ),Mean Radiant Temperature (¡æ),Radiant Temperature Asymmetry (¡æ),Real-Time Outdoor Temperature (¡æ),Mean Daily Outdoor Temperature (¡æ),Monthly Mean Outdoor Temperature (¡æ),7-Day Running Mean Outdoor Temperature (¡æ),15-Day Running Mean Outdoor Temperature (¡æ),Mean Daily Outdoor Relative Humidity (%),Mean Daily Outdoor Air Velocity (m/s)
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiant floor heating,,,Female,57,165.0,55.0,57.0,0.69,1.2,27.1,36,,,27.1,36,,,27.1,36,0.0,27.1,,,,27.1,27.1,,,-3.0,-14.1,-5.9,-7.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiant floor heating,,,Male,59,171.0,75.0,55.0,0.56,0.9,27.1,36,,,27.1,36,,,27.1,36,0.0,27.1,,,,27.1,27.1,,,-3.0,-14.1,-5.9,-7.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.98,1.2,24.7,36,,,24.7,36,,,24.7,36,0.0,24.7,,,,24.7,24.7,,,-3.0,-14.1,-5.9,-7.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,5.0,Radiator heating,,,Female,32,170.0,60.0,13.0,0.51,1.2,23.5,42,,,23.5,42,,,23.5,42,0.0,23.5,,,,23.5,23.5,,,-3.0,-14.1,-5.9,-7.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,5.0,Radiator heating,,,Male,33,175.0,80.0,13.0,0.51,0.9,23.5,42,,,23.5,42,,,23.5,42,0.0,23.5,,,,23.5,23.5,,,-3.0,-14.1,-5.9,-7.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.48,1.2,25.9,40,,,25.9,40,,,25.9,40,0.0,25.9,,,,25.9,25.9,,,-3.0,-14.1,-5.9,-7.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,50,170.0,80.0,50.0,0.46,0.8,25.9,40,,,25.9,40,,,25.9,40,0.0,25.9,,,,25.9,25.9,,,-3.0,-14.1,-5.9,-7.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,50,170.0,80.0,50.0,0.46,1.2,24.2,42,,,24.2,42,,,24.2,42,0.0,24.2,,,,24.2,24.2,,,-3.0,-14.1,-5.9,-7.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.88,1.2,25.3,41,,,25.3,41,,,25.3,41,0.0,25.3,,,,25.3,25.3,,,-11.9,-14.1,-7.2,-8.6,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,50,170.0,80.0,50.0,0.46,1.2,24.5,42,,,24.5,42,,,24.5,42,0.0,24.5,,,,24.5,24.5,,,-11.9,-14.1,-7.2,-8.6,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,33,170.0,75.0,14.0,0.48,0.9,22.5,46,,,22.5,46,,,22.5,46,0.0,22.5,,,,22.5,22.5,,,-12.3,-14.1,-7.9,-9.2,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,33,165.0,50.0,15.0,0.51,1.0,22.8,46,,,22.8,46,,,22.8,46,0.0,22.8,,,,22.8,22.8,,,-12.3,-14.1,-7.9,-9.2,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiant floor heating,,,Female,57,165.0,55.0,57.0,0.56,1.2,25.7,32,,,25.7,32,,,25.7,32,0.0,25.7,,,,25.7,25.7,,,-16.1,-14.1,-9.2,-10.5,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiant floor heating,,,Male,59,171.0,75.0,55.0,0.66,1.0,25.8,31,,,25.8,31,,,25.8,31,0.0,25.8,,,,25.8,25.8,,,-16.1,-14.1,-9.2,-10.5,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.48,1.2,25.5,30,,,25.5,30,,,25.5,30,0.0,25.5,,,,25.5,25.5,,,-16.9,-14.1,-12.9,-14.7,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,35,176.0,82.0,15.0,0.76,0.9,21.5,50,,,21.5,50,,,21.5,50,0.0,21.5,,,,21.5,21.5,,,-16.9,-14.1,-12.9,-14.7,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,33,160.0,43.0,20.0,1.35,0.9,21.5,49,,,21.5,49,,,21.5,49,0.0,21.5,,,,21.5,21.5,,,-16.9,-14.1,-12.9,-14.7,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,57,162.0,50.0,56.0,0.84,1.0,25.8,38,,,25.8,38,,,25.8,38,0.0,25.8,,,,25.8,25.8,,,-19.0,-14.1,-13.1,-15.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiant floor heating,,,Female,27,165.0,60.0,27.0,0.39,1.2,27.8,28,,,27.8,28,,,27.8,28,0.0,27.8,,,,27.8,27.8,,,-19.0,-14.1,-13.1,-15.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiant floor heating,,,Female,53,160.0,60.0,53.0,0.39,0.9,27.8,28,,,27.8,28,,,27.8,28,0.0,27.8,,,,27.8,27.8,,,-19.0,-14.1,-13.1,-15.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,50,170.0,80.0,50.0,0.46,0.8,25.5,38,,,25.5,38,,,25.5,38,0.0,25.5,,,,25.5,25.5,,,-14.7,-14.1,-13.6,-15.8,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,50,170.0,80.0,50.0,0.46,1.2,23.8,39,,,23.8,39,,,23.8,39,0.0,23.8,,,,23.8,23.8,,,-14.7,-14.1,-13.6,-15.8,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.88,1.2,23.9,38,,,23.9,38,,,23.9,38,0.0,23.9,,,,23.9,23.9,,,-14.7,-14.1,-13.6,-15.8,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Male,72,169.0,70.0,70.0,0.77,1.2,22.2,37,,,22.2,37,,,22.2,37,0.0,22.2,,,,22.2,22.2,,,-14.7,-14.1,-13.6,-15.8,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Female,69,155.0,50.0,69.0,0.61,1.0,21.8,32,,,21.8,32,,,21.8,32,0.0,21.8,,,,21.8,21.8,,,-14.7,-14.1,-13.6,-15.8,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiant floor heating,,,Female,57,165.0,55.0,57.0,0.69,1.2,26.1,30,,,26.1,30,,,26.1,30,0.0,26.1,,,,26.1,26.1,,,-16.2,-14.1,-13.1,-15.6,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiant floor heating,,,Male,59,171.0,75.0,55.0,0.48,1.0,26.2,30,,,26.2,30,,,26.2,30,0.0,26.2,,,,26.2,26.2,,,-16.2,-14.1,-13.1,-15.6,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiant floor heating,,,Female,57,165.0,55.0,57.0,0.69,1.2,26.9,31,,,26.9,31,,,26.9,31,0.0,26.9,,,,26.9,26.9,,,-17.5,-14.1,-13.3,-16.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiant floor heating,,,Male,59,171.0,75.0,55.0,0.64,1.2,26.8,28,,,26.8,28,,,26.8,28,0.0,26.8,,,,26.8,26.8,,,-17.5,-14.1,-13.3,-16.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,57,,,57.0,0.66,1.2,22.1,50,,,22.1,50,,,22.1,50,0.0,22.1,,,,22.1,22.1,,,-17.5,-14.1,-13.3,-16.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiant floor heating,,,Female,27,165.0,60.0,27.0,0.39,1.2,30.2,27,,,30.2,27,,,30.2,27,0.0,30.2,,,,30.2,30.2,,,-17.0,-14.1,-13.5,-16.3,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiant floor heating,,,Female,53,160.0,60.0,53.0,0.46,0.9,30.2,26,,,30.2,26,,,30.2,26,0.0,30.2,,,,30.2,30.2,,,-17.0,-14.1,-13.5,-16.3,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,50,170.0,80.0,50.0,0.66,0.8,25.8,36,,,25.8,36,,,25.8,36,0.0,25.8,,,,25.8,25.8,,,-18.7,-14.1,-13.6,-16.4,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.48,0.9,25.9,38,,,25.9,38,,,25.9,38,0.0,25.9,,,,25.9,25.9,,,-15.5,-14.1,-13.9,-16.7,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,33,170.0,75.0,14.0,0.48,0.9,26.0,44,,,26.0,44,,,26.0,44,0.0,26.0,,,,26.0,26.0,,,-15.8,-14.1,-13.4,-16.4,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,33,165.0,50.0,15.0,0.51,1.0,25.9,44,,,25.9,44,,,25.9,44,0.0,25.9,,,,25.9,25.9,,,-15.8,-14.1,-13.4,-16.4,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,57,162.0,50.0,56.0,0.76,1.2,25.8,37,,,25.8,37,,,25.8,37,0.0,25.8,,,,25.8,25.8,,,-18.3,-14.1,-13.8,-16.7,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Male,72,169.0,70.0,70.0,0.66,1.2,23.5,36,,,23.5,36,,,23.5,36,0.0,23.5,,,,23.5,23.5,,,-13.0,-14.1,-13.2,-16.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Female,69,155.0,50.0,69.0,0.56,1.2,23.2,30,,,23.2,30,,,23.2,30,0.0,23.2,,,,23.2,23.2,,,-13.0,-14.1,-13.2,-16.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.48,0.9,26.7,39,,,26.7,39,,,26.7,39,0.0,26.7,,,,26.7,26.7,,,-16.4,-18.3,-10.7,-13.8,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,50,170.0,80.0,50.0,0.46,0.8,26.7,40,,,26.7,40,,,26.7,40,0.0,26.7,,,,26.7,26.7,,,-16.4,-18.3,-10.7,-13.8,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Male,72,169.0,70.0,70.0,0.77,1.2,24.2,37,,,24.2,37,,,24.2,37,0.0,24.2,,,,24.2,24.2,,,-17.1,-18.3,-11.2,-14.2,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Female,69,155.0,50.0,69.0,0.61,1.0,23.9,35,,,23.9,35,,,23.9,35,0.0,23.9,,,,23.9,23.9,,,-17.1,-18.3,-11.2,-14.2,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,57,,,57.0,0.46,1.0,23.4,46,,,23.4,46,,,23.4,46,0.0,23.4,,,,23.4,23.4,,,-21.4,-18.3,-14.0,-17.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.88,1.2,27.4,32,,,27.4,32,,,27.4,32,0.0,27.4,,,,27.4,27.4,,,-19.1,-18.3,-13.2,-15.7,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiant floor heating,,,Male,59,171.0,75.0,55.0,0.46,0.9,30.2,26,,,30.2,26,,,30.2,26,0.0,30.2,,,,30.2,30.2,,,-21.3,-18.3,-13.7,-16.2,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Male,72,169.0,70.0,70.0,0.86,1.2,23.4,29,,,23.4,29,,,23.4,29,0.0,23.4,,,,23.4,23.4,,,-18.6,-18.3,-14.5,-17.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Female,69,155.0,50.0,69.0,0.56,1.0,23.4,29,,,23.4,29,,,23.4,29,0.0,23.4,,,,23.4,23.4,,,-18.6,-18.3,-14.5,-17.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.5,0.9,26.5,33,,,26.5,33,,,26.5,33,0.0,26.5,,,,26.5,26.5,,,-25.0,-18.3,-17.0,-20.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,50,170.0,80.0,50.0,0.46,1.2,26.7,34,,,26.7,34,,,26.7,34,0.0,26.7,,,,26.7,26.7,,,-19.0,-18.3,-18.2,-21.0,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,50,170.0,80.0,50.0,0.66,0.8,26.6,34,,,26.6,34,,,26.6,34,0.0,26.6,,,,26.6,26.6,,,-19.0,-18.3,-18.2,-21.0,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.48,0.9,26.5,33,,,26.5,33,,,26.5,33,0.0,26.5,,,,26.5,26.5,,,-17.5,-18.3,-15.8,-19.7,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Male,72,169.0,70.0,70.0,0.61,1.2,25.5,34,,,25.5,34,,,25.5,34,0.0,25.5,,,,25.5,25.5,,,-16.9,-18.3,-11.5,-15.5,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Female,69,155.0,50.0,69.0,0.51,1.0,25.5,34,,,25.5,34,,,25.5,34,0.0,25.5,,,,25.5,25.5,,,-16.9,-18.3,-11.5,-15.5,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,57,162.0,50.0,56.0,0.81,1.0,25.2,35,,,25.2,35,,,25.2,35,0.0,25.2,,,,25.2,25.2,,,-13.3,-18.3,-11.0,-14.6,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Male,72,169.0,70.0,70.0,0.56,1.2,24.9,30,,,24.9,30,,,24.9,30,0.0,24.9,,,,24.9,24.9,,,-13.3,-18.3,-11.0,-14.6,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Female,69,155.0,50.0,69.0,0.46,1.0,25.0,30,,,25.0,30,,,25.0,30,0.0,25.0,,,,25.0,25.0,,,-13.3,-18.3,-11.0,-14.6,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,57,162.0,50.0,56.0,0.76,1.2,25.9,35,,,25.9,35,,,25.9,35,0.0,25.9,,,,25.9,25.9,,,-20.6,-15.5,-11.7,-14.3,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.48,0.9,26.7,28,,,26.7,28,,,26.7,28,0.0,26.7,,,,26.7,26.7,,,-17.2,-15.5,-15.6,-18.4,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,57,162.0,50.0,56.0,0.84,1.2,26.1,34,,,26.1,34,,,26.1,34,0.0,26.1,,,,26.1,26.1,,,-20.1,-15.5,-15.2,-18.1,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.48,0.9,26.9,29,,,26.9,29,,,26.9,29,0.0,26.9,,,,26.9,26.9,,,-19.4,-15.5,-15.8,-18.7,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,57,162.0,50.0,56.0,0.76,1.2,25.5,36,,,25.5,36,,,25.5,36,0.0,25.5,,,,25.5,25.5,,,-18.2,-15.5,-13.8,-17.2,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,33,170.0,75.0,14.0,0.46,1.2,26.9,37,,,26.9,37,,,26.9,37,0.0,26.9,,,,26.9,26.9,,,-18.2,-15.5,-14.0,-17.6,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.48,1.2,27.2,29,,,27.2,29,,,27.2,29,0.0,27.2,,,,27.2,27.2,,,-18.2,-15.5,-14.0,-17.6,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,50,170.0,80.0,50.0,0.46,0.8,27.0,31,,,27.0,31,,,27.0,31,0.0,27.0,,,,27.0,27.0,,,-18.2,-15.5,-14.0,-17.6,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiant floor heating,,,Male,59,171.0,75.0,55.0,0.56,1.2,29.4,23,,,29.4,23,,,29.4,23,0.0,29.4,,,,29.4,29.4,,,-18.0,-15.5,-14.4,-17.8,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,35,176.0,82.0,15.0,0.89,1.2,23.9,47,,,23.9,47,,,23.9,47,0.0,23.9,,,,23.9,23.9,,,-12.6,-15.5,-13.3,-16.4,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,33,160.0,43.0,20.0,1.0,0.9,23.9,47,,,23.9,47,,,23.9,47,0.0,23.9,,,,23.9,23.9,,,-12.6,-15.5,-13.3,-16.4,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Male,72,169.0,70.0,70.0,0.64,1.2,24.0,28,,,24.0,28,,,24.0,28,0.0,24.0,,,,24.0,24.0,,,-12.6,-15.5,-13.3,-16.4,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Female,69,155.0,50.0,69.0,0.54,1.2,24.0,28,,,24.0,28,,,24.0,28,0.0,24.0,,,,24.0,24.0,,,-12.6,-15.5,-13.3,-16.4,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.48,0.9,27.0,38,,,27.0,38,,,27.0,38,0.0,27.0,,,,27.0,27.0,,,-5.3,-15.5,-10.8,-13.9,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,50,170.0,80.0,50.0,0.46,0.8,27.0,38,,,27.0,38,,,27.0,38,0.0,27.0,,,,27.0,27.0,,,-5.3,-15.5,-10.8,-13.9,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,57,162.0,50.0,56.0,0.66,1.2,25.6,37,,,25.6,37,,,25.6,37,0.0,25.6,,,,25.6,25.6,,,-9.9,-1.0,-4.3,-7.3,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,57,,,57.0,0.68,1.2,25.6,37,,,25.6,37,,,25.6,37,0.0,25.6,,,,25.6,25.6,,,-9.7,-1.0,-5.4,-8.2,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.48,0.9,25.8,23,,,25.8,23,,,25.8,23,0.0,25.8,,,,25.8,25.8,,,-9.7,-1.0,-5.4,-8.2,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,5.0,Radiator heating,,,Female,32,170.0,60.0,13.0,0.67,1.0,22.0,34,,,22.0,34,,,22.0,34,0.0,22.0,,,,22.0,22.0,,,-10.1,-1.0,-5.9,-8.4,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,5.0,Radiator heating,,,Male,33,175.0,80.0,13.0,0.81,0.8,22.0,34,,,22.0,34,,,22.0,34,0.0,22.0,,,,22.0,22.0,,,-10.1,-1.0,-5.9,-8.4,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiant floor heating,,,Female,57,165.0,55.0,57.0,0.44,1.0,27.0,23,,,27.0,23,,,27.0,23,0.0,27.0,,,,27.0,27.0,,,-11.4,-1.0,-6.5,-8.6,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiant floor heating,,,Male,59,171.0,75.0,55.0,0.66,1.0,27.1,24,,,27.1,24,,,27.1,24,0.0,27.1,,,,27.1,27.1,,,-11.4,-1.0,-6.5,-8.6,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Male,72,169.0,70.0,70.0,0.64,1.2,22.9,31,,,22.9,31,,,22.9,31,0.0,22.9,,,,22.9,22.9,,,-11.3,-1.0,-7.7,-9.0,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,4.0,Radiator heating,,,Female,69,155.0,50.0,69.0,0.54,0.9,22.9,30,,,22.9,30,,,22.9,30,0.0,22.9,,,,22.9,22.9,,,-11.3,-1.0,-7.7,-9.0,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,50,170.0,80.0,50.0,0.46,0.8,26.4,27,,,26.4,27,,,26.4,27,0.0,26.4,,,,26.4,26.4,,,-11.3,-1.0,-7.7,-9.0,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,57,162.0,50.0,56.0,0.46,1.2,26.8,36,,,26.8,36,,,26.8,36,0.0,26.8,,,,26.8,26.8,,,-9.3,-1.0,-8.4,-9.5,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,57,,,57.0,0.46,1.2,27.0,48,,,27.0,48,,,27.0,48,0.0,27.0,,,,27.0,27.0,,,-9.3,-1.0,-8.4,-9.5,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,33,170.0,75.0,14.0,0.48,1.2,25.5,41,,,25.5,41,,,25.5,41,0.0,25.5,,,,25.5,25.5,,,-2.0,-1.0,-6.6,-7.9,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,50,170.0,80.0,50.0,0.46,0.8,26.4,28,,,26.4,28,,,26.4,28,0.0,26.4,,,,26.4,26.4,,,-2.3,-1.0,-5.2,-6.7,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,,Radiator heating,,,Female,46,165.0,62.0,46.0,0.52,0.8,23.6,23,,,23.6,23,,,23.6,23,0.0,23.6,,,,23.6,23.6,,,-4.2,-1.0,-4.2,-5.8,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,48,160.0,60.0,44.0,0.48,1.2,26.9,27,,,26.9,27,,,26.9,27,0.0,26.9,,,,26.9,26.9,,,-4.2,-1.0,-4.2,-5.8,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Male,35,176.0,82.0,15.0,0.74,0.9,22.2,44,,,22.2,44,,,22.2,44,0.0,22.2,,,,22.2,22.2,,,-0.9,-1.0,-3.7,-5.5,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,33,160.0,43.0,20.0,1.11,1.0,22.2,45,,,22.2,45,,,22.2,45,0.0,22.2,,,,22.2,22.2,,,-0.9,-1.0,-3.7,-5.5,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,5.0,Radiator heating,,,Female,32,170.0,60.0,13.0,0.49,0.9,22.0,42,,,22.0,42,,,22.0,42,0.0,22.0,,,,22.0,22.0,,,-0.9,-1.0,-3.7,-5.5,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,5.0,Radiator heating,,,Male,33,175.0,80.0,13.0,0.49,1.2,22.0,42,,,22.0,42,,,22.0,42,0.0,22.0,,,,22.0,22.0,,,-0.9,-1.0,-3.7,-5.5,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiator heating,,,Female,57,162.0,50.0,56.0,0.46,1.2,26.4,43,,,26.4,43,,,26.4,43,0.0,26.4,,,,26.4,26.4,,,0.2,-1.0,-1.4,-3.2,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiant floor heating,,,Female,57,165.0,55.0,57.0,0.67,1.2,27.2,23,,,27.2,23,,,27.2,23,0.0,27.2,,,,27.2,27.2,,,0.9,-1.0,-0.5,-2.0,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,7.0,Radiant floor heating,,,Male,59,171.0,75.0,55.0,0.48,1.0,26.7,34,,,26.7,34,,,26.7,34,0.0,26.7,,,,26.7,26.7,,,0.9,-1.0,-0.5,-2.0,,
Winter Season,"Heilongjiang Province, Harbin City",Cold zone,Residential,Living room,,Radiator heating,,,Female,46,165.0,62.0,46.0,0.35,0.9,23.9,25,,,23.9,25,,,23.9,25,0.0,23.9,,,,23.9,23.9,,,0.9,-1.0,-0.5,-2.0,,
